company_name,year,cik,name,ticker,filingDate,reportDate,form,accessionNumber,primaryDocument,secIndexUrl,interactiveDataUrl,xbrlUrl
walmart,2024,104169,Walmart Inc.,WMT,2024-03-15,2024-01-31,10-K,0000104169-24-000056,wmt-20240131.htm,https://www.sec.gov/Archives/edgar/data/0000104169/000010416924000056/0000104169-24-000056-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=104169&accession_number=0000104169-24-000056&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131_htm.xml
walmart,2023,104169,Walmart Inc.,WMT,2023-03-17,2023-01-31,10-K,0000104169-23-000020,wmt-20230131.htm,https://www.sec.gov/Archives/edgar/data/0000104169/000010416923000020/0000104169-23-000020-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=104169&accession_number=0000104169-23-000020&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131_htm.xml
walmart,2022,104169,Walmart Inc.,WMT,2022-03-18,2022-01-31,10-K,0000104169-22-000012,wmt-20220131.htm,https://www.sec.gov/Archives/edgar/data/0000104169/000010416922000012/0000104169-22-000012-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=104169&accession_number=0000104169-22-000012&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131_htm.xml
walmart,2021,104169,Walmart Inc.,WMT,2021-03-19,2021-01-31,10-K,0000104169-21-000033,wmt-20210131.htm,https://www.sec.gov/Archives/edgar/data/0000104169/000010416921000033/0000104169-21-000033-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=104169&accession_number=0000104169-21-000033&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131_htm.xml
target,2024,27419,TARGET CORP,TGT,2024-03-13,2024-02-03,10-K,0000027419-24-000032,tgt-20240203.htm,https://www.sec.gov/Archives/edgar/data/0000027419/000002741924000032/0000027419-24-000032-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=27419&accession_number=0000027419-24-000032&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/27419/000002741924000032/tgt-20240203_htm.xml
target,2023,27419,TARGET CORP,TGT,2023-03-08,2023-01-28,10-K,0000027419-23-000015,tgt-20230128.htm,https://www.sec.gov/Archives/edgar/data/0000027419/000002741923000015/0000027419-23-000015-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=27419&accession_number=0000027419-23-000015&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/27419/000002741923000015/tgt-20230128_htm.xml
target,2022,27419,TARGET CORP,TGT,2022-03-09,2022-01-29,10-K,0000027419-22-000007,tgt-20220129.htm,https://www.sec.gov/Archives/edgar/data/0000027419/000002741922000007/0000027419-22-000007-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=27419&accession_number=0000027419-22-000007&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/tgt-20220129_htm.xml
target,2021,27419,TARGET CORP,TGT,2021-03-10,2021-01-30,10-K,0000027419-21-000010,tgt-20210130.htm,https://www.sec.gov/Archives/edgar/data/0000027419/000002741921000010/0000027419-21-000010-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=27419&accession_number=0000027419-21-000010&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/27419/000002741921000010/tgt-20210130_htm.xml
target,2020,27419,TARGET CORP,TGT,2020-03-11,2020-02-01,10-K,0000027419-20-000008,tgt-20200201.htm,https://www.sec.gov/Archives/edgar/data/0000027419/000002741920000008/0000027419-20-000008-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=27419&accession_number=0000027419-20-000008&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/tgt-20200201_htm.xml
target,2019,27419,TARGET CORP,TGT,2019-03-13,2019-02-02,10-K,0000027419-19-000006,tgt-20190202x10k.htm,https://www.sec.gov/Archives/edgar/data/0000027419/000002741919000006/0000027419-19-000006-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=27419&accession_number=0000027419-19-000006&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/tgt-20190202.xml
dollar_general,2024,0000029534,DOLLAR GENERAL CORP,DG,2024-03-25,2024-02-02,10-K,0001558370-24-003813,dg-20240202x10k.htm,https://www.sec.gov/Archives/edgar/data/0000029534/000155837024003813/0001558370-24-003813-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=29534&accession_number=0001558370-24-003813&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/29534/000155837024003813/dg-20240202x10k_htm.xml
dollar_general,2023,0000029534,DOLLAR GENERAL CORP,DG,2023-03-24,2023-02-03,10-K,0001558370-23-004574,dg-20230203x10k.htm,https://www.sec.gov/Archives/edgar/data/0000029534/000155837023004574/0001558370-23-004574-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=29534&accession_number=0001558370-23-004574&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/29534/000155837023004574/dg-20230203x10k_htm.xml
dollar_general,2022,0000029534,DOLLAR GENERAL CORP,DG,2022-03-18,2022-01-28,10-K,0001558370-22-003921,dg-20220128x10k.htm,https://www.sec.gov/Archives/edgar/data/0000029534/000155837022003921/0001558370-22-003921-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=29534&accession_number=0001558370-22-003921&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/dg-20220128x10k_htm.xml
dollar_general,2021,0000029534,DOLLAR GENERAL CORP,DG,2021-03-19,2021-01-29,10-K,0001558370-21-003245,dg-20210129x10k.htm,https://www.sec.gov/Archives/edgar/data/0000029534/000155837021003245/0001558370-21-003245-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=29534&accession_number=0001558370-21-003245&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/dg-20210129x10k_htm.xml
dollar_general,2020,0000029534,DOLLAR GENERAL CORP,DG,2020-03-19,2020-01-31,10-K,0001558370-20-002915,dg-20200131x10ka41072.htm,https://www.sec.gov/Archives/edgar/data/0000029534/000155837020002915/0001558370-20-002915-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=29534&accession_number=0001558370-20-002915&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/29534/000155837020002915/dg-20200131x10ka41072_htm.xml
dollar_general,2019,0000029534,DOLLAR GENERAL CORP,DG,2019-03-22,2019-02-01,10-K,0001558370-19-002383,dg-20190201x10k.htm,https://www.sec.gov/Archives/edgar/data/0000029534/000155837019002383/0001558370-19-002383-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=29534&accession_number=0001558370-19-002383&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/29534/000155837019002383/dg-20190201.xml
dollar_tree,2024,935703,"DOLLAR TREE, INC.",DLTR,2024-03-20,2024-02-03,10-K,0000935703-24-000011,dltr-20240203.htm,https://www.sec.gov/Archives/edgar/data/0000935703/000093570324000011/0000935703-24-000011-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=935703&accession_number=0000935703-24-000011&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/935703/000093570324000011/dltr-20240203_htm.xml
dollar_tree,2023,935703,"DOLLAR TREE, INC.",DLTR,2023-03-10,2023-01-28,10-K,0000935703-23-000016,dltr-20230128.htm,https://www.sec.gov/Archives/edgar/data/0000935703/000093570323000016/0000935703-23-000016-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=935703&accession_number=0000935703-23-000016&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/935703/000093570323000016/dltr-20230128_htm.xml
dollar_tree,2022,935703,"DOLLAR TREE, INC.",DLTR,2022-03-15,2022-01-29,10-K,0000935703-22-000020,dltr-20220129.htm,https://www.sec.gov/Archives/edgar/data/0000935703/000093570322000020/0000935703-22-000020-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=935703&accession_number=0000935703-22-000020&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/935703/000093570322000020/dltr-20220129_htm.xml
dollar_tree,2021,935703,"DOLLAR TREE, INC.",DLTR,2021-03-16,2021-01-30,10-K,0000935703-21-000014,dltr-20210130.htm,https://www.sec.gov/Archives/edgar/data/0000935703/000093570321000014/0000935703-21-000014-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=935703&accession_number=0000935703-21-000014&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/935703/000093570321000014/dltr-20210130_htm.xml
dollar_tree,2020,935703,"DOLLAR TREE, INC.",DLTR,2020-03-20,2020-02-01,10-K,0000935703-20-000006,dltr-2020x02x01x10k.htm,https://www.sec.gov/Archives/edgar/data/0000935703/000093570320000006/0000935703-20-000006-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=935703&accession_number=0000935703-20-000006&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/935703/000093570320000006/dltr-2020x02x01x10k_htm.xml
dollar_tree,2019,935703,"DOLLAR TREE, INC.",DLTR,2019-03-27,2019-02-02,10-K,0000935703-19-000024,dltr-2019x02x02x10k.htm,https://www.sec.gov/Archives/edgar/data/0000935703/000093570319000024/0000935703-19-000024-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=935703&accession_number=0000935703-19-000024&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/935703/000093570319000024/dltr-20190202.xml
five_below,2024,1177609,"FIVE BELOW, INC",FIVE,2024-03-21,2024-02-03,10-K,0001177609-24-000008,five-20240203.htm,https://www.sec.gov/Archives/edgar/data/0001177609/000117760924000008/0001177609-24-000008-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1177609&accession_number=0001177609-24-000008&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1177609/000117760924000008/five-20240203_htm.xml
five_below,2023,1177609,"FIVE BELOW, INC",FIVE,2023-03-16,2023-01-28,10-K,0001177609-23-000009,five-20230128.htm,https://www.sec.gov/Archives/edgar/data/0001177609/000117760923000009/0001177609-23-000009-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1177609&accession_number=0001177609-23-000009&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1177609/000117760923000009/five-20230128_htm.xml
five_below,2022,1177609,"FIVE BELOW, INC",FIVE,2022-03-30,2022-01-29,10-K,0001177609-22-000010,five-20220129.htm,https://www.sec.gov/Archives/edgar/data/0001177609/000117760922000010/0001177609-22-000010-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1177609&accession_number=0001177609-22-000010&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1177609/000117760922000010/five-20220129_htm.xml
five_below,2021,1177609,"FIVE BELOW, INC",FIVE,2021-03-18,2021-01-30,10-K,0001177609-21-000011,five-20210130.htm,https://www.sec.gov/Archives/edgar/data/0001177609/000117760921000011/0001177609-21-000011-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1177609&accession_number=0001177609-21-000011&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1177609/000117760921000011/five-20210130_htm.xml
five_below,2020,1177609,"FIVE BELOW, INC",FIVE,2020-03-19,2020-02-01,10-K,0001177609-20-000009,form10k2019fivebelowfo.htm,https://www.sec.gov/Archives/edgar/data/0001177609/000117760920000009/0001177609-20-000009-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1177609&accession_number=0001177609-20-000009&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1177609/000117760920000009/form10k2019fivebelowfo_htm.xml
five_below,2019,1177609,"FIVE BELOW, INC",FIVE,2019-03-28,2019-02-02,10-K,0001177609-19-000010,form10k2018_fivebelowform1.htm,https://www.sec.gov/Archives/edgar/data/0001177609/000117760919000010/0001177609-19-000010-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1177609&accession_number=0001177609-19-000010&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1177609/000117760919000010/five-20190202.xml
costco,2023,909832,COSTCO WHOLESALE CORP /NEW,COST,2023-10-11,2023-09-03,10-K,0000909832-23-000042,cost-20230903.htm,https://www.sec.gov/Archives/edgar/data/0000909832/000090983223000042/0000909832-23-000042-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=909832&accession_number=0000909832-23-000042&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903_htm.xml
costco,2022,909832,COSTCO WHOLESALE CORP /NEW,COST,2022-10-05,2022-08-28,10-K,0000909832-22-000021,cost-20220828.htm,https://www.sec.gov/Archives/edgar/data/0000909832/000090983222000021/0000909832-22-000021-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=909832&accession_number=0000909832-22-000021&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828_htm.xml
costco,2021,909832,COSTCO WHOLESALE CORP /NEW,COST,2021-10-06,2021-08-29,10-K,0000909832-21-000014,cost-20210829.htm,https://www.sec.gov/Archives/edgar/data/0000909832/000090983221000014/0000909832-21-000014-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=909832&accession_number=0000909832-21-000014&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829_htm.xml
costco,2020,909832,COSTCO WHOLESALE CORP /NEW,COST,2020-10-07,2020-08-30,10-K,0000909832-20-000017,cost-20200830.htm,https://www.sec.gov/Archives/edgar/data/0000909832/000090983220000017/0000909832-20-000017-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=909832&accession_number=0000909832-20-000017&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/cost-20200830_htm.xml
costco,2019,909832,COSTCO WHOLESALE CORP /NEW,COST,2019-10-11,2019-09-01,10-K,0000909832-19-000019,cost10k9119.htm,https://www.sec.gov/Archives/edgar/data/0000909832/000090983219000019/0000909832-19-000019-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=909832&accession_number=0000909832-19-000019&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/cost-20190901.xml
bjs,2024,1531152,"BJ's Wholesale Club Holdings, Inc.",BJ,2024-03-18,2024-02-03,10-K,0001531152-24-000026,bj-20240203.htm,https://www.sec.gov/Archives/edgar/data/0001531152/000153115224000026/0001531152-24-000026-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1531152&accession_number=0001531152-24-000026&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1531152/000153115224000026/bj-20240203_htm.xml
